QuestionText,AnswerText,Tags
What suit do you wear for date in summer?,casual purple cotton suit,"suit,casual,purple,cotton,date,summer,relaxed,drawstring,men"
Which sneakers would you choose for a casual in winter?,grunge white denim sneakers,"sneakers,grunge,white,denim,casual,winter,classic,collar,navy,men,women"
What's your go-to oxfords for a wedding in summer?,grunge blue leather oxfords,"oxfords,grunge,blue,leather,wedding,summer,rugged,boots,durable,men,women"
Which pants would you choose for a indoor in winter?,vintage purple leather pants,"pants,vintage,purple,leather,indoor,winter,corporate,pastel,collared,gray,ripped,men,women"
Describe a sneakers suitable for concert during autumn.,boho green cotton sneakers,"sneakers,boho,green,cotton,concert,autumn,business,trench,beige,men,women"
What skirt do you wear for wedding in winter?,elegant pink denim skirt,"skirt,elegant,pink,denim,wedding,winter,short-sleeve,women"
Describe a jacket suitable for wedding during spring.,casual red denim jacket,"jacket,casual,red,denim,wedding,spring,classic,plain,navy,men,women"
What jacket do you wear for casual in winter?,casual brown leather jacket,"jacket,casual,brown,leather,casual,winter,,men,women"
What's your go-to blazer for a office in summer?,boho yellow suede blazer,"blazer,boho,yellow,suede,office,summer,classic,loafers,brown,men,women"
Describe a jewelry suitable for concert during winter.,elegant brown nylon jewelry,"jewelry,elegant,brown,nylon,concert,winter,sporty,fitted,navy,women"
What sneakers do you wear for casual in winter?,formal pink suede sneakers,"sneakers,formal,pink,suede,casual,winter,laid-back,slogan,bold,men,women"
Which boots would you choose for a outdoor in summer?,elegant brown denim boots,"boots,elegant,brown,denim,outdoor,summer,festive,off-,men,women"
Which scarf would you choose for a casual in summer?,boho blue cotton scarf,"scarf,boho,blue,cotton,casual,summer,gym,compression,men,women"
Which oxfords would you choose for a casual in spring?,casual black cotton oxfords,"oxfords,casual,black,cotton,casual,spring,classic,loafers,brown,men,women"
Which jewelry would you choose for a concert in autumn?,athleisure purple cotton jewelry,"jewelry,athleisure,purple,cotton,concert,autumn,swimwear gray,women"
Which scarf would you choose for a concert in autumn?,preppy blue denim scarf,"scarf,preppy,blue,denim,concert,autumn,chill,vintage,washed,men,women"
What's your go-to skirt for a party in winter?,elegant purple linen skirt,"skirt,elegant,purple,linen,party,winter,simple,regular-fit,brown,women"
What's your go-to pants for a office in summer?,formal pink linen pants,"pants,formal,pink,linen,office,summer,active,breathable,quick-dry,men,women"
What jewelry do you wear for wedding in winter?,formal blue leather jewelry,"jewelry,formal,blue,leather,wedding,winter,breathable,solid-color,women"
What's your go-to suit for a indoor in winter?,preppy brown cotton suit,"suit,preppy,brown,cotton,indoor,winter,fitness,leggings,stretch,men"
What's your go-to blazer for a indoor in summer?,boho white silk blazer,"blazer,boho,white,silk,indoor,summer,traditional,kurta,pastel,men,women"
What blazer do you wear for date in winter?,preppy red suede blazer,"blazer,preppy,red,suede,date,winter,classic,plain,navy,men,women"
Describe a boots suitable for outdoor during winter.,athleisure black suede boots,"boots,athleisure,black,suede,outdoor,winter,traditional,kurta,pastel,men,women"
Which oxfords would you choose for a wedding in spring?,vintage brown silk oxfords,"oxfords,vintage,brown,silk,wedding,spring,relaxed,drawstring,men,women"
Describe a boots suitable for office during winter.,boho purple nylon boots,"boots,boho,purple,nylon,office,winter,simple,regular-fit,brown,men,women"
Which boots would you choose for a office in winter?,grunge red leather boots,"boots,grunge,red,leather,office,winter,traditional,kurta,pastel,men,women"
What's your go-to suit for a indoor in spring?,grunge pink silk suit,"suit,grunge,pink,silk,indoor,spring,festive,off-,men"
Which skirt would you choose for a concert in spring?,athleisure yellow cotton skirt,"skirt,athleisure,yellow,cotton,concert,spring,pastel,logo,women"
Which oxfords would you choose for a casual in winter?,formal red suede oxfords,"oxfords,formal,red,suede,casual,winter,urban,men,women"
Which skirt would you choose for a office in summer?,boho white nylon skirt,"skirt,boho,white,nylon,office,summer,relaxed,striped,soft-touch,women"
What suit do you wear for casual in spring?,preppy black nylon suit,"suit,preppy,black,nylon,casual,spring,ethnic,embroidered,men"
What's your go-to jacket for a party in autumn?,grunge brown nylon jacket,"jacket,grunge,brown,nylon,party,autumn,classic,loafers,brown,men,women"
Which blazer would you choose for a interview in summer?,preppy black denim blazer,"blazer,preppy,black,denim,interview,summer,classic,plain,navy,men,women"
What's your go-to jacket for a interview in summer?,vintage white denim jacket,"jacket,vintage,white,denim,interview,summer,active,breathable,quick-dry,men,women"
What sneakers do you wear for indoor in winter?,preppy purple denim sneakers,"sneakers,preppy,purple,denim,indoor,winter,skinny,stretch,rugged,bootcut,stone-wash,modern,cropped,skinny,daily,function,men,women"
What scarf do you wear for office in summer?,formal brown suede scarf,"scarf,formal,brown,suede,office,summer,training,moisture-wicking,grey,men,women"
What's your go-to oxfords for a office in autumn?,athleisure brown leather oxfords,"oxfords,athleisure,brown,leather,office,autumn,slip-on,canvas,men,women"
What oxfords do you wear for office in autumn?,formal green linen oxfords,"oxfords,formal,green,linen,office,autumn,rugged,boots,durable,men,women"
